web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href
1556763701-489|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Alaria|Brilliantly Miserable|10-Jun-01|"Violet, Sunny and Klaus Baudelaire are three very unlucky children. When their parents perished in a fire, they thought life couldn't get any worse. They were wrong. When the three children are sent to live with a distant relative, they had hoped their luck was about to change for the better. Unfortunately, they had reckoned without Count Olaf and his diabolically fiendish scheme to steal the children's inheritance.
The Series of Unfortunate Events are books that are very different to the typical image of children's literature. As the narrator says, ""There is no happy ending, there is no happy beginning and there are very few happy things in the middle."" The author uses a dark, dry sense of humour and depending on how you focus upon the book, it can either be depressing or very funny. I personally found it very good, but from reading it I can understand why some parents say it gives their kids nightmares. Some of the things that happen to the three orphans are just plain awful.
The characters are both entertaining and interesting - Count Olaf is repulsively evil - and the Baudelaires are intelligent, resourceful children who enjoying inventing and reading. No matter what happens, they will always find some solution to their problems, even though more bad things are just around the corner.
I recommend this to all kids over the age of 9. Some people call it a JK Rowling wannabe but I disagree. This series is nothing like Harry Potter, nor it as good, but then what children's book could be? I'll definitely be buying more in this wonderfully miserable series."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=five_star&pageNumber=49&reviewerType=all_reviews
1556763739-660|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|witty|20-Sep-02|I had received this book on Christmas of 2001 from my sister (who works at a book store), and hadn't really thought anything of it. After 5 months, maybe more, I started to read it out of boredom. I found it extremely exciting! Sure it isn't action packed, but it is so well written that you can't wait to see what Snicket will write next. This really isn't a book for most people. It's dreary and sad, but for those who enjoy a witty author, a good plot, and can see past the drearyness to then understand a bit of the humor that comes into this book, than it should be a most enjoyable read.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&filterByStar=five_star&pageNumber=66&reviewerType=all_reviews
1556763610-74|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Seth Walls|One of my favorite book series|13-May-16|One of my favorite book series. I own every other book in hard back, but my puppy ate the first book only. I can't recommend this series enough|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews
1556763650-260|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|shalista|Awesome|17-Jan-13|This is the best book!!! I'm reading the next 12 books!! I recommend it to everyone in the world k|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=five_star&pageNumber=26&reviewerType=all_reviews
1556763644-222|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kindle Customer|Awesome! Book Lemony Snicker|18-Jul-15|I like this book because it shows that some people can has very very very bad life's and some have amazing life's.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews
1556763734-633|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Adam L. Grundvig|A Bad Beginning|27-Mar-13|I chose a 5 star review because there was always this excitement or suspense that made you want to read more. I loved how this book was a mixture of feelings but you were always feeling something. I would recommend this book to any reader who likes books with many feeling, evilness, sadness, and wonder.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&filterByStar=five_star&pageNumber=64&reviewerType=all_reviews
1556763661-304|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Paige Schilt|it was great|5-May-14|One of the best books I have ever read I am 11 years old and have a harder time reading|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews
1556763637-191|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Cynthia/Cyndi  Hernandez|Five Stars|9-Feb-15|Very interesting!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews
1556763628-160|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|sandeep varma|Good|17-Jan-17|Good book. Everybody in my family love  . The tv show is worse than the book. But it's just issued. So whatever|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews
1556763655-273|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|rbersoul|Good read|19-Aug-14|I read this many years ago as a middle schooler and even as a college grad now this book was still a great amazing read.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&filterByStar=five_star&pageNumber=28&reviewerType=all_reviews
