web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||
1556766197-4439|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|95959|Five Stars|20-Jun-18|Excellent.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews|||
"1556766199-4450,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,bookin,As Advertised,25-Dec-12,""Needed an inexpensive alternative to allow my nine year old to finish the """"Lemony Snicket"""" series that was not available at Barnes and Noble.  Great price, $.01 plus less than $5 for shipping, shipped quickly, book was in excellent condition and a great way to recycle books."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews"|||||||||||
1556766211-4502|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|blueblues|na|12-Aug-16|books are good|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews|||
"1556766215-4522,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Loran,A rollercoaster of suspense and of long awaited answers to questions.,11-Jun-07,""I thought this book was really good. The last book left you hanging at the end of which this book begins. This book continues from where Sunny was in Olaf's clutches and Violet and Klaus are rolling down a mountain to a conceivable death. In this book along with long awaited answers to questions, we are joined by past book characters and characters we've only heard about. I loved how we got move insight on the VFD and more clues. This book also brought in information from the previous books, which was good because it tied the series together more. So if you haven't read the series from the beginning then you should so you don't get lost.I'm hoping that the last 3 books have this same build up to the long awaited finale of the 13th book."|||||||||||
|||||||||||
thank you for your time|||||||||||
|||||||||||
"Loran"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||
"1556766222-4546,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,A Person,Best of the Series!!!!!!!,12-Oct-03,""I got this book the day after it came out, and i must say I couldn't put it down. I read it in 3 days flat. It's 300-something pages and very thrilling and at the end leaves you hanging. If you liked the other books in the series, you'll LOVE this one!!!"|||||||||||
PS Have you noticed all the books have thirteen chapters? Hmm...|||||||||||
"PPS This is the best!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"|||||||||||
1556766208-4491|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nancy Cinti|Five Stars|3-Feb-15|My granddaughter was so excited to get this series|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||
