web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||||||
"1556766331-4689,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,T. J. Jones,A wonderful new edition to this Unfortunate Series!,23-Nov-04,""I still don't see why some reviewers are giving the Grim Grotto anything less than 5 stars!  The story as always was written in the beloved Lemony Snicket's grim humor.  I found the water cycle tied in to the story very creative and if you read it to the end, the readers will realize just how much the Baudelaire's lives really resemble the water cycle!  Surprisingly, Snicket teaches a very important and mature lesson, that not everything is always seen as black or white, but sometimes people are percieved as gray (or a tossed chef's salad!)  I found that lesson to be very important for the story and I congratulate Snicket for wanting to make the story mature along with the Baudelaires as well.  Snicket once again weaves an intricate story full of interesting characters, miracalous adventures, humor, and above all else, creativity.  The Grim Grotto is an excellent addition to the series giving us more questions surrounding V.F.D and leaving the reader eagerly wanting Book the Twelfth!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||||||||
"1556766342-4744,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Sandman,The Next Great Installment,12-Nov-04,""Just when you thought they couldn't possibly get better, Snicket hits us with the Grim Grotto. In what is arguably the best adventure yet, we learn even more about V.F.D. and find out the true origins of Olaf's most venemous associates. This is another great cliff-hanger and a must read for all kids, SOUE fanatics or not (your better off reading the first ten books, though)."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||
"1556766340-4727,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Apollo's Chariot,Better and Better,21-Sep-04,""The best thing about The Series of Unfortunate Events is that each book just gets better and better. Forget Harry Potter (I hate him), excellent children's literature consists of those few books that not only add detail, intrigue and excitement with each installment, but actually build on what already exists and spark your interest to the point of becoming a crazed and phsycotic fan."|||||||||||||||||
|||||||||||||||||
"The Grim Grotto is such a book. Each chapter is full of the most peculiar """"dire circumstances"""" and witty, tongue-in-cheek jabs at modern culture--the water cycle joke was perfect for me, whose 7th grade year was full of obsession about what came after condensation. It is almost like an adult book written to appeal to younger ages (if that makes any sense). There are mature ideas treated with tactful yet sly humor and the skill that makes it easy for a ten-year-old to understand."|||||||||||||||||
|||||||||||||||||
"Words just aren't enough. This book is just plain old excellent."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"|||||||||||||||||
"1556766342-4742,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Franz Fan,Great Book!!!!  A bit happy!!!,5-Oct-04,""This book is one of my favorite of the Series of Unfortunate Events!!!!!!!!  Not only was it exciting, but it was a bit happy.  That's not a bad thing.  When I was reading it I kept thinking that it would end up terrible.  It also felt like many of the mysteries were revealed.  If you have read the first ten books, I suggest you read this book!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||
"1556766342-4738,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Doesn't Matter,Amazing,14-Jul-11,""I don't get why people wouldn't like this book, I really love his writing style. I love how he always ends a book with chapter 13, the unluckiest number. Why there are the 3 1-star raters, I don't know, they even claim they can write a better book. I'm waiting, where that so called better book? Anyway, it's amazing, funny, and a quick read so you don't really have to spend so long to read it."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||
"1556766317-4630,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,TL,WOW,27-Nov-13,""Another great one in the series, my son and daughter both read these and I have also read them very much entertaining for all."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"|||||||||||||||||
1556766322-4649|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|JAF|Five Stars|26-Aug-14|Was a gift|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||||||||
"1556766326-4671,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,kayla kohlmayer,the grim grotto,9-Mar-14,""a very interesting book to read. read the rest of the series they are very good books as well"|||||||||||||||||
"bye!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"|||||||||||||||||
1556766320-4644|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jordan Luff|Five Stars|13-Dec-14|Arrived on time and just as described! Thank you!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||||||
"1556766346-4758,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Hannah,THe Grim Grotto,17-Aug-04,""This book is destined to be great! I have read 1-10, and I've been dying to read this book. I can't wait to read this one, or the 12th, or the 13th! I have to find out what happens to Quigley, Violet, Klaus, Sunny, Count Olaf, Ducan and Isadora."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"|||||||||||||||||
1556766340-4731|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Mahmoud|Best book ever|19-Jun-14|I love the series of unfortunate events but this one is the best one yet! Definitely one of the best.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews|||||||||
"1556766346-4762,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,tvtv3,""Oh, Dear! The Dreadful Happenings Continue."",8-Sep-07,""Dear Reader,"|||||||||||||||||
|||||||||||||||||
When we last saw the Baudelaire children| they were being swept out to sea after having fallen down a mountain.  It was most dreadful.  I should have just left them there and not continued reading about their unfortunate lives in THE GRIM GROTTO| the eleventh chronicle of those poor| unhappy Baudelaire orphans| Violet| Klaus| and Sunny.|||||||||||
|||||||||||||||||
THE GRIM GROTTO finds them even in more dire circumstances than before. They are misled into believing they have found a former ally of the VFD.  Then they have to live in the cramped and tight living arrangements aboard a submarine with no chance of getting out unless they put on these horribly heavy underwater-breathing suits.  Aboard the submarine they are threatened from the outside by a giant mechanical monster and Count Olaf and his crew. Then we they finally do get out to walk around they are almost killed by poisonous mushrooms and despite all the precautions they take| disaster strikes anyway.||||||||||||||||
|||||||||||||||||
You'd best stay away from this one.  But if do choose to read THE GRIM GROTTO| it's not my fault if anything happens.||||||||||||||||
Sincerely|||||||||||||||||
|||||||||||||||||
"Uncle TV"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"|||||||||||||||||
1556766344-4747|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|michael dunigan|The grim grotto|7-Mar-13|I loved this book so much.  It is full of adventure and you never know what is going to happen next|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews|||||||||
1556766320-4640|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Pam Coole|Five Stars|1-Mar-16|My child loves it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||||||
1556766344-4754|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nick|GREAT BOOK! Couldn't put it down|13-May-14|This is one of the best books that I have read. (This is more for middle school students though) I LOVE IT|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews|||||||||
"1556766337-4722,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Robin W.,Oh how utterly grim from the Baudelaires,29-Jul-06,""The Grim Grotto, Book the eleventh in the Unfortunate Events series, picks up where book the tenth left off. At the start, the Baudelaire childrens are floating down Stricken stream on a toboggan when a periscope suddenly comes out of the water. The Baudelaire children are unsure whether the people inside the submarine can be trusted, but you know how that goes if you've already read the previous 10 volumes. So on this adventure it begins with a submarine and continues through encounters with deadly mushrooms, tap-dancing, a message from a lost friend, betrayal, and eventually a dark undersea cave."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"|||||||||||||||||
"1556766342-4743,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Delia M. Quinain,Lemony Snicket,21-Sep-04,""heh, i love these books. They may be REPETITIVE but they are repetitive in an entertaining sort of way. the reason it is so """"Dry"""" and """"boring"""" is that it is a series of UNFORTUNATE EVENTS. this is Snicket's literary style!!! this is the way he writes!!! this style is so creative, even as """"boring"""" as it is! if you dont like these books, you dont like..books."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||
"1556766333-4703,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Bam Shields,The Bestest Review,30-Oct-05,""The Grim Grotto, is a book filled with mystery, action, suspense, surprises, and much more. I think that this is one of the best books out of the Series of Unfortunate Events. The Grim Grotto is awesome from the start till the end; it contains old submarines, new characters, new villains, and a new underwater experiance."|||||||||||||||||
|||||||||||||||||
At the start of the book they had already lost a friend| his name was Quigley. Quigley was the triplets that meet them in the Slipery Slope. The Baudelaire meets the other two in the books The Austere Academy and The Vile Village. Violet is the inventor of the three children| once she invented a climbing devise in The Ersatz Elevator. Klaus is the reader of the children| for example| he found out were the V.F.D sugar bowl would be by using a map. Sunny is the cook| she cooked spaghetti in the grotto for the rest of the children when they were stuck there with the deadly mushrooms.||||||||||||
|||||||||||||||||
The story The Slippery Slope has an ending that ties the ending of the book to the begging of the The Grim Grotto. The ending of The Slippery Slope| has the Baudelaire getting swept down rushing water| and Quigley gets separated form them. Then The Grim Grotto has the Baudelaire talking about what had happened. Out of know were a submarine comes with happens to contain two new characters that tie into the whole series. Fiona is a new character who loves funguses and mushrooms| she saves one of the characters lives in this book| and she also is the daughter of Captain Widdershins. He is the captain of the Quequeg| an old submarine that is falling apart. Later on they find out that they must be quiet because there is another ship with an eye on there radar fallowing them. After they explore the grim grotto they find them self trapped by poisonous marshrooms. Fiona knows a lot about the deadly fungus and they soon find a way out| but sadly one the Baudelaire's is infected. They get back to the Quequeg and encounter Count Olaf and his crew of children| Many old characters and a few unexpected changes happen at the new submarine| but all and all the children use there minds and an unexpected twist happens at the end. If my review isn't enough for you to go and read the now twelve series book then you just might want to do what lemony snicket says on the back of this book|||||||||
|||||||||||||||||
"Unless you are a slug, a sea anemone, or mildew, you probably prefer not to be damp. You might also prefer not to read this book, in which the Baudelaire siblings encounter an unpleasant amount of dampness as they descend into the depths of despair, underwater."""""|||||||||||||||||
|||||||||||||||||
"I really like this book alot, I also need to go search on Amazon.com right now and buy the twelfth book, so I can start to read it."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||||||||
1556766315-4621|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Derek Van Lith|Awesome|19-Nov-14|It is a very good book I would recommend this book to a lot of people the series has a very good intensity|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews|||||||||
1556766311-4597|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|julieboo|Who doesn't like Lemony Snicket|23-Oct-15|Who doesn't like Lemony Snicket?  I'll just take this moment also to say that everyone should get the audio versions that are narrated by Tim Curry.  They are awesome!  Tim Curry narrates like no other.|5.0 out of 5 stars|||||||||||
"1556766340-4728,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Meagan Solis,An excellent book!,30-Nov-04,""I personally loved this book. I am a huge fan of Lemony Snicket's writing, and this book brought hidden mysteries into my veiw that were hidden in the rest of his series, disguised as a simple comment from a charecter or something as simple as a sugar bowl. If you love mystery, excitement, and the feeling to read on, then I recommend this book, and the rest of the Unfortunate Events series, for that matter. This book is appealing to all ages, whether you be 13 or 35."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"|||||||||||||||||
"1556766333-4699,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,J. Brown,5 Stars,22-Sep-17,""Still enjoying this series, but I am happy that it is almost the end. These kids go through so much. It is nice seeing them grow though. There were a few things that were a little on the outrageous side in this one, but, hey, it's a kid's FICTION book. Onto the next one!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||||||||
1556766313-4607|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Joan Crane|Good|2-Apr-18|As promised. Good Shape|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews|||||||||
"1556766328-4678,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Scarlett Gauthier,My favorite series,17-Dec-18,""I’m not sure what I can say about this book that’s not repeating what I’ve already said in previous reviews or giving away spoilers, but I just love this series. And I guess I can’t even come up with reviews and yet here we are on book 11 of this amazing series and still each book is unique! I love the writing style as always, I’ve been highlighting quotes and laughing out loud. A new favorite from this one is when a day was described as getting “lousier and lousier with lousiness.” I also wouldn’t mind incorporating the phrase “I’m tickled pinker than a sunburned Caucasian!” into my vocabulary. Seriously though, I just love this series and I love the writing style most of all. I can’t wait to watch Season 3 on Netflix!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||||||||
1556766315-4625|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|:P|Love the series|10-May-14|This series is the best. I love reading it. I'm really happy to finish the series. I want to know what happens next|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews|||||||||
1556766324-4662|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|levi sims|Grim grotto|20-Dec-13|Lemony Snicket is an amazing author my favorite part about his books is how he tries to persuade u to stop reading or when he tells u to skip chapters|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||||||
