web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||
"1556766693-5158,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ashley B,Unanswered,9-Jan-07,""There are many many questions the ending of this series leaves unanswered, but it was the best ASOUE book ever. I loved how Snicket wrote it, he didn't disappoint me in the least."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"|||||||||||||
1556766648-4967|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|kendallwv|Five Stars|21-Nov-16|Got the entire series now|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||||
1556766650-4978|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Richard Gengenbach|Very good book!|3-Mar-18|The book is full of description and I recommend even if you haven't read the full series. Good for ages 9-12!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||
"1556766643-4950,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Anonymous,I'm speechless...,9-Mar-14,""That was the saddest but one of the best series I have ever read. There are still so many unanswered questions and mysteries that I think I can solve, but I'm not sure if I am correct. Lemony  Snicker is one of the best and most creative authors I have ever read a book by and I praise him on The End."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"|||||||||||||
"1556766693-5159,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Whattheheck,Best book ever,21-Dec-12,""The ending of the end is"|||||||||||||
"Awesome  I love it I love. It isn't the Beatrice the one lemony snicker love"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"|||||||||||||
"1556766679-5093,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Aleydis,""A Thoughtful Ending. Unsatisfying, but Somehow Expected"",27-Nov-08,""I was initially sorely disappointed that The End did not divulge the secrets that we have been following thirteen books for - but then I understood any ending wouldn't have been able to live up to our expectations. All I can to is reflect on the long and strange journey it's been."|||||||||||||
|||||||||||||
"As the series progressed, so did the complexity and meaning. The first few books were funny and original, but that was it - children's fun, a bit brainless, seemingly. However, as the books went on, it was clear that Handler was slipping in more than just lighthearted whimsicalities - literary allusions, allegories, hidden themes and symbols. The downright cleverness (the hidden symbols! The ironic wit!) of the books astounds me, seriously. I honestly feel that these books ought to be considered """"serious"""" pieces of literature, and analyzed as fitting to their genius."|||||||||||||
|||||||||||||
But was it more than just cleverness and wit? Judging by half the review on this site| apparently not.||||||||||||
|||||||||||||
However| after reading a few thoughtful posts on the books' fansite| I am now somewhat convinced that the entire series may have had a deeper| symbolic meaning to it - an allegory disguised as a children's read. Here are two possible alternate theories I stumbled upon:||||||||||
|||||||||||||
 has been suggested that the Series has Jewish themes| and indeed that the suffering| guilt| questioning attitude| and constant wanderings of the Baudelaires reflect the plight of the Jewish people. In The End| they find a safe homeland(where their parents had lived)| but at the expense of either killing everyone else or driving them into the sea. Perhaps notably| it is ruled by a man called Ishmael| the name of the alleged ancestor of the Arabs.|||||
|||||||||||||
And also as taken from one of the fan websites| some of the fine points Snicket/Handler has made in social satire:||||||||||||
|||||||||||||
 Snicket's Politics and Social Satire - by Antenora|||||||||||||
« Thread Started on Jun 30|2008| 3:54pm »|||||||||||
Mr. Snicket's Politics and Unfortunate Social Satire|||||||||||||
|||||||||||||
"We know that Daniel Handler is a liberal, and it appears that his character Snicket shares these views, based on the available evidence-- in his letters to Beatrice, he denounces """"pre-emptive war""""(the solution to Olaf's anagram """"a wet viper perm"""") as an obscene concept, and expresses sadness over the fact that two women are not allowed to marry. While we know relatively little about the politics of the Snicket world, by our standards Snicket would also be a liberal. He would also strongly disapprove of the """"anti-elitist"""" and anti-intellectual leanings commonly shown by some conservatives(but by no means limited to the Right-- consider how Hillary Clinton has dismissed the worth of economic experts). For Snicket, this kind of thinking(or non-thinking) goes hand in hand not only with evil, but with sheer absurdity."|||||||||||||
|||||||||||||
Several of the post-V.F.D. books contain notable social satire| presenting a world not entirely unlike our own:||||||||||||
|||||||||||||
1. The obsession with wealth| fashion and conspicuous consumption-- exemplified by the items sold in the aptly named Veblen Hall-- in TEE. Many of these items and fashions| such as keeping whole streets in darkness| climbing dozens of flights of stairs| and parsley soda| would seem unappealing if they were not| for some reason| declared fashionable.||||||
|||||||||||||
"2. The tyrannical government of the Village of Fowl Devotees, which resembles a theocracy or a cult with its devotion to crows, censorship of any suggestion of dissent, and medieval-esque method of punishment. Consider also their puritanical ban on """"using one's mouth for recreation"""", which implies the sort of restriction of sensual pleasure seen in communities ruled by religion. Even these frightening figures have comical aspects, though, with their silly hats, forbiddance of their own rule books, and nitpicking about ice-cream sundaes."|||||||||||||
|||||||||||||
