web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||
1556764739-1543|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Laura|An engaging series|22-Jan-15|My 8-year-old son is a big fan of this series.  He is reading incessantly!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||
"1556764764-1651,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,A. Banaag,([Weclome] back) [to the Anxious Clown!],4-Sep-04,""Well, well. I should've (which here means 'should have) known you'd be back to hear the tell tale of the Baudelaires. It starts off with the Baudelaiers waiting to meet their third care-taker. Her name is Aunt Josephine, a very cautious widow, whom also grammamatically corrects grammatical errors. She lives on the top of a very steep and tall hill. She is terribly cautious about everyting, for the slightest incorrect movement would bring down her house. While the Baudelaires get along with her (not at the best, of course, who would?) Aunt Josephine meets Captain Sham, a captain (obviouslly not) who happens to be Count Olaf in disguise! From this, it leads to bad cucumber soup, to hamburgers, to leeches in this sad and trachi turn of events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764777-1709|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ashton Parsons|Awesome|19-Feb-13|I love this book so much it's so daring and I don't ever want to stop getting the next book!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews||
1556764739-1542|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Cherryberry|Great book!|19-Mar-13|My 10 year old son loves this series and the storyline.  He said he loves the way it is narrated and that it's different from other books because of this.  The children are very bright and well mannered which makes them good role models.  This is a pretty light easy read.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||
1556764775-1699|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Wonderful Book!|21-Feb-11|The Baudulaires travels are exciting but very depressing. Hey come to live with their Aunt Josephine after their Uncle Monty is murdered by Count Olaf who is a treachorus villlian who tries to steal the enormous Baudulaire fortune. Can they decode the secret message that Aunt Josephine leaves them? Are they succsesful? Find out in The Wide Window; or Disappearance!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews||
"1556764764-1655,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,rzaster,Easily the Best of the Series,14-Sep-00,""After my teacher read the first book of the series to my class, I really wanted to continue to read the series on my own. After going to the Miami  Book Fair and hearing the author speak I went out and bought all his books.  The Wide Window is easily the best yet! It has twists, turns, realistic  characters, and an enthralling plot. The book stars the three Baudelaire  orphans as they go and live with their Aunt Josephine. Count Olaf  immediatley comes into to town disguised as a capatain of a ship but  doesn't trick the kids. Wait... I won't give the rest away! Read this book.  It is a genuinely fabulous book that any reader will love. It was soooo  good. Pick it up NOW!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764730-1503|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kimberly Kaufman|Good series|19-Aug-18|I read the books awhile ago and now my daughter is old enough to enjoy them. But where is the rest of the series in paperback. I need to buy the rest for her.|5.0 out of 5 stars||||
1556764737-1530|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kluck|Sooo good!!!|12-Sep-17|I loved the book in general and I recommend it to anyone who likes mystery books. This totally deserves a 5 star rating because the author did such a good job at writing it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||
1556764775-1703|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Dottie Randazzo|A Really Fun Read|7-Aug-06|This is a great story. It keeps you on your seat the whole time. Will the house go into the Lake? You can't guess the ending... which is good. Highly recommended.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews||
"1556764777-1707,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jody Barker,This was the best!,5-Oct-05,""I say that because I saw this part on the movie. It was shweet. Actullay, it was shupper-shweet! I give this a five out of five. Good job and I wish the best of luck on your next book projects!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews"||||||||||
