web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||
1556765424-2905|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Paloma M|My kids loved the series and I'm sure A Series of Unfortunate ...|27-Aug-15|My kids loved the series and I'm sure A Series of Unfortunate Events is now apart of the children's literary canon.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews||||
1556765533-3398|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Brittney|I think this book is intelligent because Lemony Snicket puts feelings and ideas in the ...|23-Feb-18|I think this book is intelligent because Lemony Snicket puts feelings and ideas in the book.Three children go to a boarding school and there enemy has returned! He disguises himself to get the children's fortune there  parents left behind. What kind of mischief is he going to cause now? This book  is perfect for people who like books that has interesting characters and who like cliff hanging endings.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&filterByStar=five_star&pageNumber=55&reviewerType=all_reviews||||
1556765419-2880|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|S. Edwards|I love the whole series of these books and recommend them highly|17-Jan-18|These books are really good we have the whole series|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||
1556765448-3012|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Janet S. Watkins|Good|29-Apr-15|Lemony Snicket does not disappoint|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||
"1556765486-3189,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,""Fortunately, things are still unfortunate."",6-Aug-05,""As awkward as that may sound, it certainly makes for some very entertaining reading.  I read the first four books last summer and decided to take a break (particularly, because I really didn't care for book the fourth).  So this summer I decided to start up again.  And THE AUSTERE ACADEMY was a pleasant """"Welcome Back!"""" to the extremely unpleasant lives of the Baudelaires."||||||||||||
||||||||||||
"THE AUSTERE ACADEMY is suprisingly the tamest of the first five books; the word """"tame"""", here means (Sorry, I just couldn't resist putting it this way) a little less violence and a bit less sinisterity from the Baudelaire's arch-nemesis, Count Olaf.  However, to balance it out, Mr. Snicket introduces us to someone almost as wicked: Vice Principle Nero (who strives to be as evil as the ruthless emperor he was named after).  Also in the story, the Baudelaires finally encounter some allies.  And perhaps best of all, Mr. Snicket finally gives the reader the first few clues in the vast mystery of The Series of Unfortunate Events."||||||||||||
||||||||||||
"Keep reading!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=five_star&pageNumber=34&reviewerType=all_reviews"||||||||||||
1556765463-3086|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|smoke|Not at all austere|22-Jan-13|Awesome my second favorite book in the series. Is one of my favorite books in the world. It's so worth 8 dollars|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=five_star&pageNumber=24&reviewerType=all_reviews||||
