web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||
1556765669-3431|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lynn|Five Stars|21-Aug-17|kids loved them|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews||||||||||
1556765700-3573|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sean olson|U must read|23-Apr-01|This series is so cool that all my buds are reading it . Hi my name is sean I am 11 and I live in .... This book is so cool that I read it in one day.So if u can read it do it .|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||
1556765680-3475|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|karen lidgard|Really great serise|4-Apr-14|My niece really like these books and would reccommend them to read.  Easy to read and easy to understand them|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||||||||
1556765676-3458|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Five Stars|17-Aug-15|Great books!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||
"1556765702-3577,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Sayani Chaudhuri,Conplete and utterly awesome,5-Jun-01,""This was a great book, perfect for any Lemony Snicket fan (btw, I still can't believe it's his actual name)I won't give out the plot so the people who haven't read it get mad at me, but if you've enjoyed the series from 1 to 6, you'lll like this one!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"||||||||||||||||||
1556765676-3454|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|D. Olson|Book The Vile Village|30-Dec-12|Our Granddaughter loves the series. We send it for Christmas and her Mom said that she can't stop reading it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||
"1556765696-3548,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Colin K Quinton,Even better than the last!,30-Jul-01,""I must be one of the lucky few in the UK to have read these wonderful stories as they aren't yet published over here. What has impressed me has not only been the quality of storytelling, but the whole """"package"""" - the bindings, covers, front pages all show what care has been put into the series. I'm not sure that the British versions (out in the autumn) are so good.  Anyway, as for """"The Vile Village"""", this has to be the strongest episode yet, even better than """"The Ersatz Elevator""""! The story stands well on its own with enough clues to want you to shout out to help the siblings (where are the Quagmires? who is Officer Luciana?) and hints of the continuing plotlines are teasingly dangled in front of you - just how is Lemony Snicket involved in the whole saga? I cannot wait to visit """"The Hostile Hospital""""!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||||||||
1556765702-3575|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lori J Cooper|Five Stars|7-Oct-14|Thank you!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||||||||
1556765674-3452|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Mark Twain|Greatest. Kids books. Ever.|14-Feb-13|We are totally hooked! My nephew can't wait to read - and it's the first time we can't finish the book within a couple of days. So grateful that there are a lot of them in the series.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||||||||
1556765698-3559|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|muffin|Five Stars|11-Sep-14|came in excellent condition|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||||||||
1556765683-3492|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|This was an awesome book|14-May-14|So far this was a great book. I loved this book the best. Too bad there isn't 41 books in the series:(|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||||||||||
1556765683-3486|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|By C Decker|Rating|29-Dec-12|I rate this book a 5. I liked everything about it and how the author Lemony Snicket says his own opinion and what some of the words mean and how he words his books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||||||||||
"1556765696-3552,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Abi,Best of the series!,24-Aug-15,""Written by 10 yr old son: """"This was the best book in the Series of Unfortunate Events so far.  I have read books 1-8.  Highly recommend to anyone ages 8+.  If you have ever put one of these books down, it won't be this one!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||||||||
"1556765700-3566,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Anna,Great Series!,16-May-01,""I loved the Lemony Snicket books form the first one and have read all seven.  I normally read longer books, and at first when I started them I didn't think they were really that complicated, but a short and amusing read.  the interestingthing is down below the short story of the orphans unravels this odd mystery sortof hanging over in all, and I""""m dying for the 8th book to come out!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||||||||||
"1556765698-3563,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Sydney Anderson,Loved this book and can't wait for another!,27-Jul-01,""I loved the Vile Village. With a different plot every time it is hard to put Lemony Snicket's books down. In this book Violet, Klaus and Sunny go to live in a crow infested town, have to deal with about 20,000 rules from the town elders, get mysterious couplet poems from Isadora, end up in jail and many more exciting things that will make you keep reading. Hope you read The Vile Village you will not regret it."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"||||||||||||||||||
1556765698-3555|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nature girl|Wasup casup|2-Apr-14|I LOVE this book  because I'm reading the series of unfortunate events and I am on #8 now but they are all cool No ULTRA COOL|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||||||||
"1556765691-3525,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Toni Masters,It takes a village to raise a child?,8-Jul-05,""After being dumped by their latest guardian, Jerome Squallor, the Baudelaire orphans will not be taken in by any other relatives due to fears of Count Olaf.The children are taken in by the mysterious village of VFD and are taken care of by a nervous man named Hector, who likes to cook Mexican food and runs a secret mechanism and library.The Baudelaires soon learn of the mysterious village, the way it is run by a sincere group of elders and has around ten million stupid rules they must not be broken otherwise you are burnt at a stake.The Baudelaires are accused of crime, assault and murder and at the same time must try to find their friends, the Quagmires, who are hidden somewhere in the village due to the falling of notes written by Isadora Quagmire.When things can't get any worse, Olaf arrives, and this time without a shirt!Get ready for another hilarious and eh-dismal read."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||||||||
"1556765689-3515,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Todd Burger,""Never more, never more"",19-Oct-04,""How's this for a rule? If you wear unwieldy, unfashionable (whether it's in or out) and revoltingly ugly hats, you have to be burned at the stake. Sound ridiculous? Not in this book."||||||||||||||||||
||||||||||||||||||
"Here the poor Baudelaire's are placed with the Village of Fowl Devotees, and when they learn the name of the village, they hope that perhaps they might get some answers to VFD. Mr. Poe is operating here under the aphorism, """"It takes a village to raise a child"""", but as usual he's completely off base and out of touch with reality, because the village he's sending these kids to is, well, if I were to pay them a compliment, off-kilter."||||||||||||||||||
||||||||||||||||||
For example| the RULES. They are absurd| but absurd in a hysterical fashion that leaves you laughing and wanting to hear what the next pointless rule is.||||||||||||||||
||||||||||||||||||
"Rule #920 clearly states that no one may talk while on the platform [at the council of elders] unless you are a police officer."""" To further enforce this point, an elder states: """"You're orphans, not police officers, so shut up."""""||||||||||||||||||
||||||||||||||||||
"Rule #19,833 """"states that no villains are allowed within the city limits."||||||||||||||||||
||||||||||||||||||
"Rule # 67 """"clearly states that no citizen is allowed to build or use any mechanical devices."""" Poor Violet!!"||||||||||||||||||
||||||||||||||||||
Those are only a few| but here's the worst part of it all: the punishment for breaking any of these rules| regardless of the rule| is to be burned at the stake!|||||||||||||||
||||||||||||||||||
"We learn things in this book, as usual, such as the migratory patterns of crows. There is a Neverland Tree, and a fountain shaped like a fish. There is also, I'm sorry to say, the appearance of some people who break Rule #19,833, but due to """"mob rule"""", those people convince the village elders that the real villains are the Baudelaires, and they face the most ignoble, not to mention terrifying and life threatening, likelihood of being burned at the stake."||||||||||||||||||
||||||||||||||||||
Creativity abounds| especially in the form of the lost Quagmire triplets. But I'll zip it and say no further on that.|||||||||||||||||
||||||||||||||||||
"There are lots of surprises in this book, and it was an example of the books just getting better and better. As I have stated in other reviews, The Miserable Mill was a bit of a low point for the series, but after that it is picked up with the energy of a locomotive, if not that of Superman, and is barreling straight ahead."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||||||||
