web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||||
"1556765949-3754,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brett Benner,More Bad For The Baudelaire's,28-Apr-01,""Lemony Snicket's second tale of unfortunate woe picks up right where the first left off with Violet, Klaus, & Sunny narrowly escaping the clutches of the evil Count Olaf. The somewhat dim Dr Poe takes them to live with Dr Montgomery Montgomery; A man who's related tho their family by their """"late father's cousin's wife's brother."""" Dr Montgomery specializes in herpetology, or the study of snakes. Readers of the first book will know that from this point only terrible things can happen and they do, including a death, and a surprise visitor.I found this book even more fun than the first now that the characters are familiar. I also love that he ends each book with a set-up for the next one. It makes you wish you had it immediately!"",5.0 out of 5 stars,,"||||||||||||||||||||
"1556765955-3776,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kim,great reading,8-Sep-16,""I think all of the books in this series are great reads.  However I feel they are overpriced quite a bit, considering I can easily read one of these each day.  I have planned on reading all of them yet."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"||||||||||||||||||||
"1556765997-3966,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Tom Jensen,Great kids books,15-Mar-13,""I bought these intending to read them to my kids over time and within the first week my seven year old had got hold of them and read all three of them at least once and went back to reread his favorite parts as well.  I think it helped that he had seen the movie, which I understand is a composite of these first three books."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"||||||||||||||||||||
"1556765953-3770,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,CranberryLady,Grandson is loving it,14-Jan-13,""This came from Santa for my 6 year old grandson, who needs to be challenged, as he's very bright.  He's reading it with his dad, and they are both loving it.  The author was interviewed on NPR, and I really enjoyed the way he talked about his work.  I thought it could be that rare mix of stories that are great for both kids and adults to read.  It is!  What a wonderful imagination he has."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews"||||||||||||||||||||
1556765997-3969|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Eulene Mathis|Five Stars|11-Jan-15|being enjoy|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews||||||||||||
1556766015-4048|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|love it!!!|Amazing and exciting|20-Feb-13|Wow this book blew me away and I even cryed a little but overall it was very exciting and a great book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews||||||||||||
"1556766080-4342,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Emily,The Best Book!,3-Apr-02,""Ok I must tell you that I am a teenager, but this is my favorite book in the series.  Cause it talks about Sunny alot cause in all the series every book has a picture of 1 of the kids on the cover this is the only one so far with Sunny. I think you should buy this book, but I also think it's helpful to read the first book before the second (and so on). But please read the whole series and ask yourself which book was your favorite. Well hope this helped."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=five_star&pageNumber=60&reviewerType=all_reviews"||||||||||||||||||||
"1556766042-4170,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Dana Y. Bowles,AND SO THE TALE CONTINUES.........,4-Dec-04,""In this the second installment of the series, those unfortunate Baudelaire orphans are indeed rescued from the clutches of the evil Count Olaf and delivered by the executor of their estate, Mr. Poe, to longlost uncle Montgomery Montgomery.  Dubbing himself Uncle Monty, he's excited about the arrival of the children and anxious to aquaint them with his area of expertise; for Uncle Monty is an herpetological expert.  His beloved Reptile Room is filled with his specimens, and quickly becomes equally beloved by the orphans.  All seems quite well--but that simply cannot be, because this is a Series of Unfortunate Events.  And so arrives Uncle Monty's new assistant Stephano--who the Baudelaire orphans quickly recognize as the evil Count Olaf in disguise--and anticipated, yet expected and completely unwelcome, misfortune once again finds the Baudelaire children."||||||||||||||||||||
||||||||||||||||||||
This series details the events in the lives of the Baudelaire orphans| which is an endless struggle between the forces of good and evil.  Fun and fantasy| and not to be missed.||||||||||||||||||
